Component,Origin,License,Copyright
requests,https://github.com/psf/requests,Apache 2.0,Copyright (c) 2011 requests contributors
tenacity,https://github.com/jd/tenacity,Apache 2.0,Copyright (c) 2012 Julien Danjou
